kernel,phase,pass,ms
arrayexpr,Finalize object,X86 LEA Fixup #4,0.0
arrayexpr,Finalize object,X86 DynAlloca Expander #6,0.0
arrayexpr,Finalize object,Insert KCFI indirect call checks #6,0.0
arrayexpr,Finalize object,Lower Garbage Collection Instructions #3,0.0
arrayexpr,Finalize object,Machine Branch Probability Analysis #6,0.0
arrayexpr,Finalize object,Scoped NoAlias Alias Analysis #6,0.0
arrayexpr,Finalize object,X86 Avoid Store Forwarding Blocks #5,0.0
arrayexpr,Finalize object,Partially inline calls to library functions #6,0.0
arrayexpr,Finalize object,X86 Partial Reduction #6,0.0
arrayexpr,Finalize object,Optimize machine instruction PHIs #5,0.0
arrayexpr,Finalize object,X86 EFLAGS copy lowering #6,0.0
arrayexpr,Finalize object,Post RA top-down list latency scheduler #6,0.0
arrayexpr,Finalize object,Early If-Conversion #5,0.0
arrayexpr,Finalize object,Prepare callbr #4,0.0
arrayexpr,Finalize object,Assignment Tracking Analysis #6,0.0
arrayexpr,Finalize object,X86 Return Thunks #6,0.0
arrayexpr,Finalize object,Lower AMX intrinsics #6,0.0
arrayexpr,Finalize object,Detect Dead Lanes #4,0.0
arrayexpr,Finalize object,Remove Redundant DEBUG_VALUE analysis #5,0.0
arrayexpr,Finalize object,Pseudo Probe Inserter #5,0.0
arrayexpr,Finalize object,Shadow Stack GC Lowering #6,0.0
arrayexpr,Finalize object,X86 speculative load hardening #4,0.0
arrayexpr,Finalize object,X86 Indirect Branch Tracking #5,0.0
arrayexpr,Finalize object,Remove unreachable blocks from the CFG #4,0.0
arrayexpr,Finalize object,StackMap Liveness Analysis #5,0.0
arrayexpr,Finalize object,Profile summary info #6,0.0
arrayexpr,Finalize object,Type-Based Alias Analysis #6,0.0
arrayexpr,Finalize object,Expand reduction intrinsics #5,0.0
arrayexpr,Finalize object,ObjC ARC contraction #5,0.0
arrayexpr,Finalize object,X86 Atom pad short functions #2,0.0
arrayexpr,Finalize object,Argument Stack Rebase #5,0.0
arrayexpr,Finalize object,Early If-Conversion #6,0.0
arrayexpr,Finalize object,Compressing EVEX instrs when possible #4,0.0
arrayexpr,Finalize object,Lazy Block Frequency Analysis #14,0.0
arrayexpr,Finalize object,Lazy Branch Probability Analysis #13,0.0
arrayexpr,Finalize object,X86 Lower Tile Copy #6,0.0
arrayexpr,Finalize object,Remove Redundant DEBUG_VALUE analysis #4,0.0
arrayexpr,Finalize object,X86 Load Value Injection (LVI) Load Hardening #5,0.0
arrayexpr,Finalize object,X86 FP Stackifier #5,0.0
arrayexpr,Finalize object,Register Allocation Pass Scoring #5,0.0
arrayexpr,Finalize object,Tile Register Configure #5,0.0
arrayexpr,Finalize object,Safe Stack instrumentation pass #6,0.0
arrayexpr,Finalize object,Rename Disconnected Subregister Components #4,0.0
arrayexpr,Finalize object,X86 insert wait instruction #5,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #58,0.0
arrayexpr,Finalize object,X86 PIC Global Base Reg Initialization #5,0.0
arrayexpr,Finalize object,Optimization Remark Emitter #5,0.0
arrayexpr,Finalize object,Scalarize Masked Memory Intrinsics #5,0.0
arrayexpr,Finalize object,Process Implicit Definitions #5,0.0
arrayexpr,Finalize object,Exception handling preparation #5,0.0
arrayexpr,Finalize object,Basic Alias Analysis (stateless AA impl) #23,0.0
arrayexpr,Finalize object,Prepare callbr #6,0.0
arrayexpr,Finalize object,Machine Optimization Remark Emitter #18,0.0
arrayexpr,Finalize object,Machine Optimization Remark Emitter #19,0.0
arrayexpr,Finalize object,Register Allocation Pass Scoring #4,0.0
arrayexpr,Finalize object,X86 Atom pad short functions #4,0.0
arrayexpr,Finalize object,Rename Disconnected Subregister Components #5,0.0
arrayexpr,Finalize object,Tail Duplication,0.0
arrayexpr,Finalize object,Fixup Statepoint Caller Saved #5,0.0
prange_saxpy,Module passes (full optimization),InstCombinePass,4.534
prange_saxpy,Finalize object,X86 DAG->DAG Instruction Selection #5,3.048
prange_saxpy,Module passes (full optimization),SimplifyCFGPass,1.613
prange_saxpy,Module passes (full optimization),CorrelatedValuePropagationPass,1.007
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',InstCombinePass,0.967
prange_saxpy,Module passes (full optimization),IndVarSimplifyPass,0.964
prange_saxpy,Module passes (cheap optimization for refprune),InstCombinePass,0.96
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SROAPass,0.871
prange_saxpy,Module passes (full optimization),EarlyCSEPass,0.834
prange_saxpy,Finalize object,Loop Strength Reduction #4,0.779
prange_saxpy,Finalize object,Loop Strength Reduction #3,0.774
prange_saxpy,Module passes (full optimization),LoopDeletionPass,0.652
prange_saxpy,Module passes (full optimization),LoopUnrollPass,0.631
prange_saxpy,Module passes (full optimization),LoopIdiomRecognizePass,0.623
prange_saxpy,Module passes (full optimization),GVNPass,0.591
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SimplifyCFGPass,0.568
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',JumpThreadingPass,0.536
prange_saxpy,Finalize object,Greedy Register Allocator #10,0.516
prange_saxpy,Module passes (full optimization),JumpThreadingPass,0.515
prange_saxpy,Finalize object,Machine Instruction Scheduler #4,0.492
prange_saxpy,Finalize object,Machine Instruction Scheduler #5,0.487
prange_saxpy,Module passes (full optimization),LoopLoadEliminationPass,0.464
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',InstCombinePass,0.403
prange_saxpy,Module passes (full optimization),DSEPass,0.399
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',EarlyCSEPass,0.397
prange_saxpy,Module passes (cheap optimization for refprune),JumpThreadingPass,0.377
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',InstCombinePass,0.375
prange_saxpy,Module passes (full optimization),IPSCCPPass,0.362
prange_saxpy,Finalize object,Machine Natural Loop Construction #9,0.333
prange_saxpy,Finalize object,CodeGen Prepare #5,0.331
prange_saxpy,Module passes (full optimization),LICMPass,0.326
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SimplifyCFGPass,0.302
prange_saxpy,Module passes (full optimization),SCCPPass,0.29
prange_saxpy,Module passes (full optimization),ConstraintEliminationPass,0.261
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',GVNPass,0.257
prange_saxpy,Module passes (full optimization),PostOrderFunctionAttrsPass,0.254
prange_saxpy,Module passes (full optimization),InlinerPass,0.254
prange_saxpy,Finalize object,Live Variable Analysis #5,0.251
prange_saxpy,Finalize object,Induction Variable Users #3,0.238
prange_saxpy,Finalize object,Induction Variable Users #4,0.23
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',DSEPass,0.22
prange_saxpy,Module passes (full optimization),LoopFullUnrollPass,0.203
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CorrelatedValuePropagationPass,0.198
prange_saxpy,Module passes (full optimization),SROAPass,0.196
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',JumpThreadingPass,0.189
prange_saxpy,Module passes (full optimization),RefPrunePass,0.181
prange_saxpy,Module passes (full optimization),ReassociatePass,0.181
prange_saxpy,Finalize object,Register Coalescer #5,0.179
prange_saxpy,Module passes (cheap optimization for refprune),RefPrunePass,0.177
prange_saxpy,Finalize object,Register Coalescer #4,0.176
prange_saxpy,Module passes (full optimization),ADCEPass,0.174
prange_saxpy,Module passes (full optimization),LoopSimplifyPass,0.174
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',EarlyCSEPass,0.174
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',EarlyCSEPass,0.173
prange_saxpy,Finalize object,Rename Disconnected Subregister Components #4,0.173
prange_saxpy,Finalize object,Module Verifier #8,0.17
prange_saxpy,Finalize object,X86 Assembly Printer #5,0.161
prange_saxpy,Finalize object,X86 Assembly Printer #4,0.157
prange_saxpy,Module passes (cheap optimization for refprune),LoopSimplifyPass,0.155
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',DSEPass,0.154
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CorrelatedValuePropagationPass,0.154
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MemCpyOptPass,0.152
prange_saxpy,Finalize object,Machine Common Subexpression Elimination #5,0.149
prange_saxpy,Finalize object,Machine Common Subexpression Elimination #4,0.147
prange_saxpy,Finalize object,Reaching Definitions Analysis #5,0.146
prange_saxpy,Module passes (full optimization),CalledValuePropagationPass,0.145
prange_saxpy,Module passes (full optimization),GlobalOptPass,0.145
prange_saxpy,Module passes (full optimization),BDCEPass,0.145
prange_saxpy,Finalize object,Module Verifier #9,0.144
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SROAPass,0.14
prange_saxpy,Finalize object,Canonicalize Freeze Instructions in Loops #3,0.137
prange_saxpy,Finalize object,Machine Copy Propagation Pass #7,0.137
prange_saxpy,Finalize object,Machine Copy Propagation Pass #9,0.134
prange_saxpy,Finalize object,Machine Module Information #4,0.129
prange_saxpy,Finalize object,Machine Module Information #5,0.124
prange_saxpy,Finalize object,Machine Copy Propagation Pass #8,0.12
prange_saxpy,Finalize object,Module Verifier #10,0.118
prange_saxpy,Finalize object,Greedy Register Allocator #9,0.118
prange_saxpy,Finalize object,Canonicalize Freeze Instructions in Loops #4,0.112
prange_saxpy,Finalize object,Live Interval Analysis #5,0.111
prange_saxpy,Module passes (full optimization),MemCpyOptPass,0.109
prange_saxpy,Module passes (full optimization),InferAlignmentPass,0.109
prange_saxpy,Module passes (full optimization),LoopDistributePass,0.109
prange_saxpy,Module passes (full optimization),InstSimplifyPass,0.109
prange_saxpy,Module passes (full optimization),LoopInstSimplifyPass,0.109
prange_saxpy,Module passes (full optimization),TailCallElimPass,0.109
prange_saxpy,Module passes (full optimization),VectorCombinePass,0.109
prange_saxpy,Finalize object,Live Interval Analysis #4,0.109
prange_saxpy,Finalize object,Dominator Tree Construction #10,0.107
prange_saxpy,Finalize object,Machine Copy Propagation Pass #10,0.098
prange_saxpy,Finalize object,Machine code sinking #5,0.093
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ConstraintEliminationPass,0.093
prange_saxpy,Finalize object,Basic Alias Analysis (stateless AA impl) #20,0.092
prange_saxpy,Finalize object,Function Alias Analysis Results #15,0.091
prange_saxpy,Finalize object,Control Flow Optimizer #5,0.089
prange_saxpy,Finalize object,Control Flow Optimizer #4,0.088
prange_saxpy,Module passes (full optimization),InferFunctionAttrsPass,0.08
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefPrunePass,0.08
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CorrelatedValuePropagationPass,0.079
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',GVNPass,0.079
prange_saxpy,Finalize object,Peephole Optimizations #5,0.079
prange_saxpy,Finalize object,Peephole Optimizations #4,0.078
prange_saxpy,Module passes (full optimization),LCSSAPass,0.076
prange_saxpy,Finalize object,Remove dead machine instructions #8,0.075
prange_saxpy,Finalize object,Prologue/Epilogue Insertion & Frame Finalization #5,0.073
prange_saxpy,Module passes (full optimization),AggressiveInstCombinePass,0.072
prange_saxpy,Module passes (full optimization),LoopRotatePass,0.072
prange_saxpy,Module passes (full optimization),LibCallsShrinkWrapPass,0.072
prange_saxpy,Module passes (full optimization),CGProfilePass,0.072
prange_saxpy,Finalize object,Two-Address instruction pass #5,0.071
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MemCpyOptPass,0.07
prange_saxpy,Module passes (full optimization),RecomputeGlobalsAAPass,0.069
prange_saxpy,Module passes (full optimization),"RequireAnalysisPass<llvm::GlobalsAA, llvm::Module>",0.069
prange_saxpy,Finalize object,Branch Probability Basic Block Placement #5,0.069
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SimplifyCFGPass,0.067
prange_saxpy,Finalize object,Virtual Register Rewriter #5,0.065
prange_saxpy,Finalize object,Branch Probability Analysis #8,0.064
prange_saxpy,Finalize object,Expand IR instructions #5,0.062
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefPrunePass,0.061
prange_saxpy,Finalize object,Branch Probability Analysis #9,0.059
prange_saxpy,Finalize object,Expand IR instructions #4,0.059
prange_saxpy,Module passes (full optimization),SimpleLoopUnswitchPass,0.058
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ConstraintEliminationPass,0.056
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SCCPPass,0.053
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',JumpThreadingPass,0.053
prange_saxpy,Finalize object,Remove dead machine instructions #9,0.05
prange_saxpy,Finalize object,Live Range Shrink #5,0.05
prange_saxpy,Finalize object,Branch Probability Analysis #10,0.05
prange_saxpy,Finalize object,Machine Late Instructions Cleanup Pass #5,0.05
prange_saxpy,Finalize object,Machine Late Instructions Cleanup Pass #4,0.049
prange_saxpy,Finalize object,Live Range Shrink #4,0.049
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ADCEPass,0.047
prange_saxpy,Finalize object,X86 Byte/Word Instruction Fixup #5,0.044
prange_saxpy,Finalize object,Natural Loop Information #19,0.044
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ReassociatePass,0.044
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SCCPPass,0.044
prange_saxpy,Module passes (full optimization),DropUnnecessaryAssumesPass,0.043
prange_saxpy,Module passes (full optimization),GlobalDCEPass,0.043
prange_saxpy,Finalize object,Natural Loop Information #20,0.043
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MemCpyOptPass,0.041
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefPrunePass,0.041
prange_saxpy,Module passes (full optimization),ReversePostOrderFunctionAttrsPass,0.04
prange_saxpy,Finalize object,Constant Hoisting #5,0.04
prange_saxpy,Finalize object,Shrink Wrapping analysis #5,0.04
prange_saxpy,Finalize object,X86 Execution Dependency Fix #5,0.04
prange_saxpy,Finalize object,Block Frequency Analysis #4,0.04
prange_saxpy,Finalize object,Block Frequency Analysis #5,0.039
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ConstraintEliminationPass,0.038
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SCCPPass,0.038
prange_saxpy,Function passes on '_ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',GVNPass,0.037
prange_saxpy,Module passes (cheap optimization for refprune),RefNormalizePass,0.037
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ADCEPass,0.037
prange_saxpy,Module passes (full optimization),Float2IntPass,0.036
prange_saxpy,Module passes (full optimization),LoopSimplifyCFGPass,0.036
prange_saxpy,Module passes (full optimization),RefNormalizePass,0.036
prange_saxpy,Module passes (full optimization),DeadArgumentEliminationPass,0.036
prange_saxpy,Module passes (full optimization),LoopVectorizePass,0.036
prange_saxpy,Module passes (full optimization),LowerConstantIntrinsicsPass,0.036
prange_saxpy,Module passes (full optimization),"RequireAnalysisPass<llvm::ShouldNotRunFunctionPassesAnalysis, llvm::Function>",0.036
prange_saxpy,Module passes (cheap optimization for refprune),LoopRotatePass,0.035
prange_saxpy,Finalize object,Live Register Matrix #5,0.035
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SROAPass,0.034
prange_saxpy,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',BDCEPass,0.032
prange_saxpy,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B90c8tJTC_2fWQAliW1xhDEoY6EEMEUOEMISPGsAQMVj4QniQ4IXKQEMXwoMGLoQDDVsQR1NHAS2hQ9XgStYwm4ogLE0AE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',DSEPass,0.031
prange_saxpy,Finalize object,Remove dead machine instructions #10,0.031
prange_saxpy,Finalize object,Eliminate PHI nodes for register allocation #4,0.031
prange_saxpy,Finalize object,Early Machine Loop Invariant Code Motion #5,0.03
prange_saxpy,Finalize object,Dominator Tree Construction #9,0.03
prange_saxpy,Finalize object,Machine InstCombiner #3,0.03
prange_saxpy,Finalize object,Scalar Evolution Analysis #5,0.03
prange_saxpy,Finalize object,Merge disjoint stack slots #5,0.03
prange_saxpy,Finalize object,Eliminate PHI nodes for register allocation #5,0.029
prange_saxpy,Finalize object,Live Register Matrix #4,0.029
prange_saxpy,Finalize object,Merge disjoint stack slots #4,0.029
